	RUT	N°ALUMNO	SEXO	CURRICULUM	CODIGO PROGRAMA	PROGRAMA	CODIGO PREFERENCIA ESPECIALIDAD	PREFERENCIA ESPECIALIDAD	CODIGO PREFERENCIA MAJOR	PREFERENCIA MAJOR	CODIGO MAJOR SELECCIONADO	MAJOR SELECCIONADO	CODIGO MINOR SELECCIONADO	MINOR SELECCIONADO	TRACK/ÁREA	PLAN DE ESTUDIOS PERSONALIZADO	ESTADO	AÑO INGRESO	VÍA DE INGRESO	TIPO INGRESO ESPECIAL	PROM. PPA	TOTAL CRÉDITOS APROBADOS	TOTAL CRÉDITOS CONVALIDADOS	TOTAL CRÉDITOS APROBADOS+CONVALIDADOS	TOTAL CRÉDITOS REPROBADOS	TOTAL CRÉDITOS INSCRITOS	ESTUDIOS VIGENTES(PARALELO)	ESTUDIOS NO VIGENTES(FINALIZADOS POR ALGÚN MOTIVO)	LICENCIADO	FECHA LIC.	EGRESADO	FECHA EGR.	TITULADO	COLEGIO REGIÓN	COLEGIO TIPO	COLEGIO EGRESO	ESTADO DSRD ACTUAL	TIPO INGRESO	PUESTO
0	23	23	F	C2009	40002	ING CIVIL PLAN COMUN	40095	"Ingeniero Civil de Industrias, Diploma en Ingeniería en Tecnologías de Información"	 	 	 	 	 	 	 	NO	REGULAR	2013	ESPECIAL	CAMBIO CARRERA SANTIAGO	"4,52"	345	160	505	70	470	ING CIVIL PLAN COMUN		NO		NO		NO	XIII	MUNICIPAL SUBVENCIONADO GRATUITO	2009	100	-	
1	27	27	M	C2013	40013	ING CIVIL	 	 	81020	"MAJOR EN INGENIERÍA, DISEÑO E INNOVACIÓN"	81015	MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE	81152	MINOR DE PROFUNDIDAD EN FUNDAMENTOS CIENTÍFICOS Y TECNOLÓGICOS DE LA COMPUTACIÓN		NO	NO VIGENTE RENUNCIADO	2013	ESPECIAL	CAMBIO CARRERA SANTIAGO	"5,36"	210	90	300	30	240		ING CIVIL()	NO		NO		NO	XIII	PARTICULAR PAGADO	2010	333	-	
2	152	152	F	C2013	40013	ING CIVIL	 	 	81006	MAJOR EN INGENIERÍA CIVIL	81006	MAJOR EN INGENIERÍA CIVIL	10000	SELECCIONAR ESTE TEXTO PARA REALIZAR INSCRIPCIÓN	Track Ing y Gestión de la Construcción	NO	REGULAR	2013	ESPECIAL	CAMBIO CARRERA SANTIAGO	"4,72"	380	30	410	110	550	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2011	100	-	
3	155	155	F	C2009	40002	ING CIVIL PLAN COMUN	40052	"Ingeniero Civil de Industrias, Diploma en Ingeniería Mecánica"	81013	MAJOR EN INGENIERÍA ELÉCTRICA	 	 	 	 	 	NO	AUSENTE POR NO INSCRITO EN CURSO	2013	ESPECIAL	CAMBIO CARRERA SANTIAGO	"5,31"	415	140	555	0	415	ING CIVIL PLAN COMUN	LIC CCNN Y MATEMATIC()	NO		NO		NO	XIII	PARTICULAR PAGADO	2011	227	-	
4	13	13	M	C2009	40002	ING CIVIL PLAN COMUN	40072	"Ingeniero Civil de Industrias, Diploma en Ingeniería Química"	81001	MAJOR EN INGENIERÍA QUÍMICA	 	 	 	 	 	NO	REGULAR	2013	ESPECIAL	CAMBIO DE UNIVERSIDAD	"5,51"	195	185	380	0	245	ING CIVIL PLAN COMUN		NO		NO		NO	XIII	PARTICULAR PAGADO	2007	100	-	
5	32	32	M	C2009	40002	ING CIVIL PLAN COMUN	40082	"Ingeniero Civil de Industrias, Diploma en Ingeniería de Computación"	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	 	 	 	 	 	NO	AUSENTE POR NO INSCRITO EN CURSO	2013	ESPECIAL	CAMBIO DE UNIVERSIDAD	"5,20"	460	85	545	10	470	ING CIVIL PLAN COMUN		NO		NO		NO	XIII	PARTICULAR PAGADO	2010	227	-	
6	36	36	M	C2009	40002	ING CIVIL PLAN COMUN	40093	"Ingeniero Civil de Industrias, Diploma en Ingeniería de Minería"	 	 	 	 	 	 	 	NO	AUSENTE POR NO INSCRITO EN CURSO	2013	ESPECIAL	CAMBIO DE UNIVERSIDAD	"4,28"	320	80	400	105	425	ING CIVIL PLAN COMUN		NO		NO		NO	IV	PARTICULAR PAGADO	2011	227	-	
7	58	58	M	C2013	40013	ING CIVIL	 	 	81020	"MAJOR EN INGENIERÍA, DISEÑO E INNOVACIÓN"	81020	"MAJOR EN INGENIERÍA, DISEÑO E INNOVACIÓN"	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL	Track Ingeniería	SI	REGULAR	2013	ESPECIAL	CAMBIO DE UNIVERSIDAD	"4,85"	480	0	480	40	570	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2011	100	-	
8	141	141	M	C2009	40002	ING CIVIL PLAN COMUN	40092	"Ingeniero Civil de Industrias, Diploma en Ingeniería de Transporte"	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	 	 	 	 	 	SI	AUSENTE POR NO INSCRITO EN CURSO	2013	ESPECIAL	CAMBIO DE UNIVERSIDAD	"5,60"	460	90	550	20	480	ING CIVIL PLAN COMUN	MAG EN CS INGENIERIA()	NO		NO		NO	XIII	PARTICULAR PAGADO	2011	227	-	
9	119	119	F	C2013	40013	ING CIVIL	40092	"Ingeniero Civil de Industrias, Diploma en Ingeniería de Transporte"	81020	"MAJOR EN INGENIERÍA, DISEÑO E INNOVACIÓN"	81002	MAJOR EN SISTEMAS DE TRANSPORTE	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL	Área 4: Profundización en Ingeniería de Transporte	SI	REGULAR	2013	ESPECIAL	CAMBIO CARRERA Y UNIVERSIDAD	"5,02"	460	60	520	30	500	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2011	100	-	
